date,frequency,agriculture_foresty_and_fishing,construction,electricity_gas_and_water,finance_insurance_real_estate_and_business_services,government_and_other_services,manufacturing,mining_and_quarrying,transport_storage_and_communications,wholesale_retail_trade_hotels_and_restaurants,total_new_issues
2018-12-01,Monthly,0.0,246.6802,51.0,5437.85534542,70.0,0.0,0.0,0.0,0.0,5805.53554542
2019-01-01,Annual,2055.0,4267.61421,7584.1344500000005,101274.67403500999,7214.859,2230.0,0.0,2566.0,1731.98,128924.26169500998
2019-01-01,Monthly,50.0,0.0,0.0,5656.635,194.859,0.0,0.0,32.0,0.0,5933.494000000001
2019-02-01,Monthly,0.0,0.0,3500.0,5376.168,0.0,265.0,0.0,0.0,0.0,9141.168
2019-03-01,Monthly,0.0,944.3,0.0,6714.983999999995,3540.0,105.0,0.0,0.0,0.0,11304.283999999996
2019-04-01,Monthly,0.0,250.0,0.0,9675.5,1200.0,0.0,0.0,0.0,0.0,11125.5
2019-05-01,Monthly,0.0,530.0,0.0,31619.44369304,100.0,0.0,0.0,0.0,0.0,32249.44369304
2019-06-01,Monthly,0.0,0.0,1100.0,7163.639529999996,120.0,0.0,0.0,0.0,0.0,8383.639529999997
2019-07-01,Monthly,0.0,0.0,0.0,4057.0872554799994,200.0,300.0,0.0,0.0,1477.48,6034.5672554799985
2019-08-01,Monthly,5.0,5.0,675.0,3417.5245,500.0,21.0,0.0,0.0,0.0,4623.5244999999995
