date,frequency,bank_negara_malaysia_statement_of_capital_and_liabilities,paid_up_capital,reserves,currency_in_circulation,financial_institutions,federal_government,deposits_others,bank_negara_bills_and_bonds,allocation_of_special_drawing_rights,other_liabilities,total_liabilities
2015-01-01,Annual,,100,131133.75396600002,88157.350153,157170.272372,10212.933427,588.177209,24113.83866,8009.059759,21082.136954,440567.522499
2015-01-01,Monthly,,100,72249.828952,83086.657493,133168.823208,7686.49196,1878.563893,86747.345268,6819.246401,14465.222191,406202.179366
2015-02-01,Monthly,,100,74095.332612,84665.948452,144569.556649,6368.928175,1863.752156,73946.899632,6819.246401,13210.157785,405639.821862
2015-03-01,Monthly,,100,80990.395209,81554.542921,148438.893032,8316.307904,1781.072389,56524.806392,6855.084785,26168.984976,410730.087608
2015-04-01,Monthly,,100,83009.712307,82811.135934,159495.809928,10663.583367,1661.774494,43659.998202,6855.084785,30778.246824,419035.345841
2015-05-01,Monthly,,100,84234.765368,81849.210247,165386.328948,17825.27999,1655.530263,29559.185686,6855.084785,33166.032179,420631.417466
2015-06-01,Monthly,,100,93349.329781,83873.876938,165558.71575,21782.362561,1319.685871,23128.255576,7074.899285,23582.380099,419769.505861
2015-07-01,Monthly,,100,94773.932701,83828.511927,136764.184831,19935.967196,1307.046568,21590.318793,7074.899285,20576.776353,385951.637654
2015-08-01,Monthly,,100,93017.230589,84882.923898,137834.683812,15865.309845,718.191256,18182.407424,7074.899285,22153.677084,379829.323193
2015-09-01,Monthly,,100,141577.245678,84674.755184,151942.282593,6506.718321,827.348317,24482.510896,8311.562484,22926.576526,441348.999999
2015-10-01,Monthly,,100,144517.70716,84773.89416,146323.524036,10616.2045,476.434076,28184.192042,8311.562484,22450.052527,445753.570985
2015-11-01,Monthly,,100,144376.526082,85672.683487,158029.797659,10108.370177,528.533663,24550.052163,8311.562484,17965.285768,449642.811483
2015-12-01,Monthly,,100,131133.75396600002,88157.350153,157170.272372,10212.933427,588.177209,24113.83866,8009.059759,21082.136954,440567.522499
2016-01-01,Annual,,100,144736.9,97751.311081,170249.376048,9441.182813999998,533.535558,8602.054795,8118.140477,11446.5,450978.988911
2016-01-01,Monthly,,100,129560.219391,93644.460183,163035.379383,4317.387256,574.037559,24177.300195,8009.059759,17515.559305,440933.403031
2016-02-01,Monthly,,100,129747.403368,91184.106973,168434.328262,8243.109028,548.935094,23735.828492,8009.059759,13028.362021,443031.132997
2016-03-01,Monthly,,100,101862.597638,88187.748518,161895.363119,10254.054789,563.491434,21291.34741,7370.647061,17508.12483,409033.374799
2016-04-01,Monthly,,100,102424.215177,89393.557769,161216.750813,8617.79393,625.224717,19343.069916,7370.647061,14107.391495,403198.650878
2016-05-01,Monthly,,100,102835.997441,89954.981291,157452.600906,13954.981196,998.319583,15386.17041,7370.647061,20393.894302,408447.59219
2016-06-01,Monthly,,100,107695.65398,93585.204126,163692.890803,9905.282389,752.473223,15123.736164,7521.801501,20454.011771,418831.053957
2016-07-01,Monthly,,100,109463.602666,91259.895629,165952.829875,9687.05196,1105.899933,13613.632466,7521.801501,13079.446039,411784.160069
2016-08-01,Monthly,,100,110174.096626,91058.98182,157265.327359,19261.89924,1175.758923,13648.314247,7521.801501,12055.987791,412262.167507
2016-09-01,Monthly,,100,123214.067402,92177.255705,170160.878743,5551.175818,916.755885,10633.089317,7759.215485,13718.385334,424230.823689
2016-10-01,Monthly,,100,123210.272857,92442.284356,172292.506979,10388.677435,847.230507,5650.514384,7759.215484,11415.020655,424105.722657
2016-11-01,Monthly,,100,123832.382924,92683.972669,175717.307151,4242.223048,395.807487,6638.53959,7759.215484,11517.014982,422886.463335
2016-12-01,Monthly,,100,144736.9,97751.311081,170249.376048,9441.182813999998,533.535558,8602.054795,8118.140477,11446.5,450978.988911
2017-01-01,Monthly,,100,146215.200532,105220.24183,162062.852029,12513.738807,528.569195,8622.62096,8118.140477,9128.422432,452509.786262
2017-01-01,Annual,,100,136719.1,103585.2266,181717.903195,7479.155855,1456.263152,7267.567918,7759.395868,3761.7,449846.3
2017-02-01,Monthly,,100,147391.147456,99829.36143,171634.852956,6329.532117,359.174684,9466.102755,8118.140477,7294.614089,450522.925964
2017-03-01,Monthly,,100,147369.391074,99452.188472,176109.964948,5318.921786,520.784617,9488.885207,8077.762896,4250.470689,450688.369689
2017-04-01,Monthly,,100,148585.294241,100131.877924,179047.432824,6339.868271,645.814683,8510.161233,8077.762896,3925.170997,455363.383069
2017-05-01,Monthly,,100,150046.795966,100467.464221,173572.114472,12035.306585,1236.452831,9499.839849,8077.762896,5507.966182,460543.703002
2017-06-01,Monthly,,100,145961.189813,105311.026953,170583.922708,8783.279452,965.350184,7253.275328,8041.772398,4039.834751,451039.651587
2017-07-01,Monthly,,100,146970.627404,100760.388656,170279.828611,15534.76645,1274.145532,6270.52134251,8041.7723976199995,4615.176734,453847.227128
2017-08-01,Monthly,,100,147581.271898,103229.419289,176462.717082,13000.019382,1080.226073,6286.424343,8041.772398,4621.962227,460403.812692
2017-09-01,Monthly,,100,146950.012253,101013.627645,181854.328864,9238.829937,1114.326847,5270.491602,8046.644092,3914.540405,457502.801645
2017-10-01,Monthly,,100,148686.464661,100513.323899,180760.675643,5934.855167,1486.610268,5284.126931,8046.644092,3854.864414,454667.562075
2017-11-01,Monthly,,100,148210.021302,102256.557054,182257.986854,5358.304667,1607.972215,7759.027633,8046.644092,5328.189212,460924.703029
2017-12-01,Monthly,,100,136719.1,103585.2266,181717.903195,7479.155855,1456.263152,7267.567918,7759.395868,3761.7,449846.3
2018-01-01,Annual,,100,131556.8,106405.049013,169132.968685,7955.553982,858.919129,21745.525910869997,7743.43194931,2138.294841,447636.534667
2018-01-01,Monthly,,100,139288.667564,108882.28743517,173235.17615,14839.70532,1083.539628,7676.084407,7759.395868,4109.671743,456973.588411
2018-02-01,Monthly,,100,137234.486113,108303.44717079,167881.909188,11105.958177,1112.181442,12992.576427,7759.395868,4311.946676,450801.853829
2018-03-01,Monthly,,100,119453.72214691,106632.27662731,180566.639417,10485.624783,767.46403,19946.31033988,7540.72424323,3914.861977,449407.568644
2018-04-01,Monthly,,100,121519.94997435,108406.34245700999,174866.063218,10050.99372,834.921751,22156.93449333,7540.72424323,3753.303464,449231.537611
2018-05-01,Monthly,,100,123019.74821502001,111229.43279331,165387.881961,8721.892573,814.372676,16685.69027097,7540.72424323,3841.776519,444177.469877
2018-06-01,Monthly,,100,127735.51351055001,109342.64402252,168423.981169,13274.895096,816.0498,18179.53941566,7644.7851913,3851.506365,449368.820569
